spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
"spatiotemporal_inconsistent","same",0,0,1,1,4,0,-50,50,1,"Chrome","testSubject","2022-12-15T17:26:41.654Z","2022-12-15T17:26:46.262Z",888
"spatiotemporal_inconsistent","same_swap",1,0,0,1,2,3,50,-50,1,"Chrome","testSubject","2022-12-15T17:26:47.022Z","2022-12-15T17:26:51.882Z",1140
"spatiotemporal_inconsistent","same_swap",4,3,3,4,0,3,50,-50,1,"Chrome","testSubject","2022-12-15T17:26:52.797Z","2022-12-15T17:26:58.720Z",2203
"spatiotemporal_inconsistent","same",1,1,2,2,4,0,50,-50,1,"Chrome","testSubject","2022-12-15T17:27:03.749Z","2022-12-15T17:27:09.573Z",2104
"spatiotemporal_inconsistent","same_swap",3,1,1,3,2,3,50,-50,1,"Chrome","testSubject","2022-12-15T17:27:11.557Z","2022-12-15T17:27:18.838Z",3561
"spatiotemporal_inconsistent","same",2,2,3,3,0,3,-50,50,1,"Chrome","testSubject","2022-12-15T17:27:19.773Z","2022-12-15T17:27:28.690Z",5197
"spatiotemporal_inconsistent","same_swap",1,0,0,1,1,0,-50,50,1,"Chrome","testSubject","2022-12-15T17:27:29.197Z","2022-12-15T17:27:34.181Z",1264
"spatiotemporal_inconsistent","new",3,1,0,0,1,4,50,-50,1,"Chrome","testSubject","2022-12-15T17:27:35.173Z","2022-12-15T17:27:39.951Z",1058
"spatiotemporal_inconsistent","same",2,2,1,1,1,4,50,-50,1,"Chrome","testSubject","2022-12-15T17:27:41.829Z","2022-12-15T17:27:46.351Z",802
"spatiotemporal_inconsistent","same",2,2,1,1,2,3,-50,50,1,"Chrome","testSubject","2022-12-15T17:27:48.230Z","2022-12-15T17:27:52.729Z",779
"spatiotemporal_inconsistent","same",3,3,0,0,4,0,-50,50,1,"Chrome","testSubject","2022-12-15T17:27:53.414Z","2022-12-15T17:27:58.019Z",885
